Food Name,Calories
Animal crackers (arrowroot; social tea) (2),45
Apple crisp; homemade (125mL),206
Banana bread; homemade (11cm X 6cm X 1cm) (1 slice),196
Butter tart (1),248
Croissant; butter (1),231
Danish pastry; fruit (11cm diam) (1),263
Doughnut; cake-type; plain (8cm diam) (1),198
Ginger snaps (2),58
Graham crackers; plain or honey (2),59
Granola bar; soft; nuts and raisins (1),127
Muffin; bran; homemade (1),199
Sugar cookies; commercial (2),143
Toaster pastries ( Pop-TartsTM); brown sugar & cinnamon (1),206
Toaster pastries (Pop-TartsTM); fruit; frosted (1),215
Beer; light (4% alcohol by volume) (1 bottle),99
Beer; regular (5% alcohol by volume) (1 bottle),140
Club soda (250mL),0
Cocktail; daiquiri (125mL),237
Cocktail; margarita (125mL),246
Coffee; brewed (250mL),3
Coffee; latte (250mL),101
Cola (250mL),110
Ginger ale (250mL),88
Iced coffee; Frappuccino (StarbucksTM) (250mL),127
Lemonade; pink or white; frozen; diluted (250mL),105
Mixed vegetable and fruit juice drink; ready-to-drink (250mL),113
Spirits (gin; rum; vodka; whisky) (50mL),109
Sports drink; fruit flavour; ready-to-drink (GatoradeTM; (250mL),67
Tea; brewed (250mL),3
Water; mineral (PerrierTM) (250mL),0
Water; municipal (250mL),0
Wine; table; red (125mL),90
Wine; table; white (125mL),85
Buttermilk (250mL),104
Cheese; Cheddar (50g),202
Coffee whitener; powdered; light (5mL),9
Eggnog (250mL),362
Hot chocolate; powder + water (250mL),160
Milk; chocolate; 1% M.F. (250mL),166
Milk; condensed; sweetened; canned (Eagle BrandTM) (15mL),62
Milk; evaporated; partly skimmed; canned; diluted; 2% M.F. (250mL),122
Milk; partly skimmed; 1% M.F. (250mL),108
Milk; partly skimmed; 2% M.F. (250mL),129
Milk; skim (250mL),88
Milk; whole; 3.3% M.F. (250mL),155
Soy beverage; original and vanilla; enriched (250mL),110
Yogourt; plain; 1-2% M.F. (175mL),114
Yogourt; plain; fat-free (175mL),79
Yogourt; vanilla or fruit; 1-2% M.F. (175mL),183
Yogourt; vanilla or fruit; fat-free (175mL),116
Egg white; cooked (1 large),16
Egg yolk; cooked (1 large),59
Egg; fried (2 large),173
Egg; hard-boiled (1 large),78
Egg; poached (1 large),74
Breakfast biscuit with egg; cheese and bacon (1),477
Breakfast English muffin with egg; cheese and bacon (1),289
Cheeseburger; double patty + condiments + vegetables (1),650
Cheeseburger; single patty; plain (1),319
Chicken chow mein (250mL),200
Chicken fried rice (250mL),343
Chicken; breaded and fried; boneless (nuggets) (6),285
Chili con carne (250mL),270
Corndog (PogoTM) (1),197
Donair / Gyro (1),310
Egg roll (1),113
Fish sandwich with breaded fish (1),523
French fries (20-25 fries),236
Garlic bread (2 slices),192
Hamburger; double patty + condiments (1),576
Hamburger; single patty; plain (1),275
Hot-dog; plain (1),242
Milk shake; chocolate (250mL),223
Milk shake; vanilla (250mL),195
Onion rings; breaded and fried (8-9),276
Pizza with cheese (medium - 12 inches) (1/6),210
Pizza with cheese and pepperoni (medium - 12 inches) (1/6),219
Submarine sandwich (6 inches); with cold cuts (1),456
Wrap sandwich; chicken ranch (1),532
Butter (5mL),34
Lard (15mL),117
Margarine; tub; composite (5mL),34
Oil; Canola (15mL),125
Oil; Corn (15mL),122
Oil; Flaxseed (15mL),122
Oil; Grapeseed (15mL),122
Oil; Olive (15mL),121
Oil; Peanut (15mL),121
Oil; Sesame (15mL),122
Oil; Soybean (15mL),122
Oil; Sunflower (15mL),122
Salad dressing; Blue cheese (15mL),78
Salad dressing; Creamy Caesar (15mL),79
Salad dressing; French (15mL),72
Salad dressing; Italian (15mL),43
Salad dressing; Italian; low Calorie (15mL),11
Salad dressing; Mayonnaise (15mL),100
Salad dressing; Oil and vinegar (15mL),73
Salad dressing; Ranch (15mL),71
Shortening (15mL),115
Calamari; breaded and fried (125mL),156
Caviar; black or red (15mL),41
Clams; mixed species; boiled or steamed (5 large),89
Crab cake (1),93
Crab; imitation; made from surimi (125mL),68
Crab; snow; boiled or steamed (125mL),72
Fish cake (1),240
Fish fillet; battered and fried (1),265
Fish sticks; frozen; heated (10cm x 2.5cm x 1.3cm) (3 sticks),227
Haddock; baked or broiled (75g),84
Halibut; Atlantic and Pacific; baked or broiled (75g),105
Lobster; boiled or steamed (125mL),75
Mussels; boiled or steamed (15 small),129
Oysters; boiled or steamed (6 medium),58
Salmon; Atlantic; farmed; baked or broiled (75g),155
Salmon; smoked (2 pieces),47
Scallops; cooked; steamed (6 medium),87
Shrimp; boiled or steamed (6 medium),30
Shrimp; breaded and fried (6 medium),160
Sole (flatfish); baked or broiled (75g),88
Tuna; light; canned in water; drained; salted (75g),87
Tuna; light; canned with oil; drained; salted (75g),149
Apple juice; ready-to-drink; vitamin C added (125mL),59
Apple with skin (7cm.diam) (1),72
Applesauce; unsweetened (125mL),55
Apricots; dried (3),67
Apricots; raw (3),50
Avocado (1/2),161
Banana (1),105
Blackberries (125mL),33
Blueberries; frozen; unsweetened (125mL),42
Blueberries; raw (125mL),44
Cherries; sweet (10),43
Clementine (1),35
Cranberries; dried; sweetened (60mL),95
Cranberry juice cocktail; ready-to-drink; vitamin C added (125mL),76
Dates; dried (3),70
Figs; dried (2),42
Figs; raw (1),37
Fruit cocktail; canned; juice pack (125mL),58
Grape juice; ready-to-drink; vitamin C added (125mL),81
Grapefruit juice; ready-to-drink unsweetened or freshly (125mL),50
Grapefruit; white (1/2),39
Grapes (20),69
Kiwifruit (1),46
Lemon juice; canned or bottled (15mL),3
Lime juice; canned or bottled (15mL),3
Mango (1/2),67
Melon; cantaloupe; cubes (125mL),29
Nectarine (1),60
Orange (1),62
Orange juice; ready-to-drink (125mL),58
Papaya; cubes (125mL),29
Peach (1),38
Peach; canned halves or slices; juice pack (125mL),58
Pear with skin (1),96
Pear; canned halves; juice pack (125mL),66
Pear; canned halves; light syrup pack (125mL),76
Pineapple; cubes (125mL),42
Plum (1),30
